Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Applying for and accepting formal credit;Seed;T/F;Abantu abashade ngokuhlanganyela badinga imvume kulo abashade nayo ukuaplayela isikweletu;Iqiniso;Amanga;;;Uma ushade ngokuhlanganyela udinga imvumo ebhaliwe kulo oshade naye ukungena esivumelwaneni sesikweletu;4
Applying for and accepting formal credit;Retention;MC;Udinga imvumo evela koshade naye uku aplayela isikweletu uma ushade _________ ;Ngokuhlanganyela;Ngaphandle kokuhlanganyela;Futhi unezingane;Ngaphandle kokunyuka ngokuhamba kwesikhathi;Abantu abashade ngokuhlanganyela badinga isivumelwano esibhaliwe esivela kumakoti noma kumkhwenyana ukungena esivumelwaneni sesikweletu;11
Applying for and accepting formal credit;Application;T/F;Akekho odinga imvumo kamakoti noma kamkhwenyana uku aplayela isivumelwano sesikweletu;Amanga;Iqiniso;;;Abantu abashade ngokuhlanganyela badinga isivumelwano esibhaliwe esivela kumakoti noma kumkhwenyana ukungena esivumelwaneni sesikweletu;18
Applying for and accepting formal credit;Seed;Y/N;Iyadingeka imvumo kamakoti noma kamkhwenyana uku aplayela isikweletu uma ushade {{ngaphandle kokuhlanganyela}}?;No;Yebo;;;Abantu abashade {{ngokuhlanganyela}} kuphela abadinga isivumelwano esibhaliwe esivela kumakoti noma kumkhwenyana ukungena esivumelwaneni sesikweletu;4
Applying for and accepting formal credit;Retention;MC;Ayidingeki imvumo ebhaliwe evela kumakoti noma kumkhwenyana uma nishade _________;Ngaphandle kokuhlanganyela;Ngokuhlanganyela;Emphakathini wesikweletu;Ngaphandle kwesivumelwano sesikweletu;Uma ushade ngaphandle kokuhlanganyela awudingi imvumo yalo oshade naye ngesingawe ukuthola isikweletu;11
Applying for and accepting formal credit;Application;T/F;Iyadingeka imvumo kamakoti noma kamkhwenyana uma ushade {{ngaphandle kokuhlanganyela}};Amanga;Iqiniso;;;Abantu abashade {{ngokuhlanganyela}} kuphela abadinga isivumelwano esibhaliwe esivela kumakoti noma kumkhwenyana ukungena esivumelwaneni sesikweletu;18
Applying for and accepting formal credit;Seed;T/F;Uma ushade {{ngokuhlanganyela}} udinga isivumelwano esibhaliwe esivela koshade naye ukungena esivumelwaneni sesikweletu;Iqiniso;Amanga;;;i{Cost} {{yesikweletu}} ifaka inzalo, imali yokuqala isikweletu, imali ye {service}, kanye ne {insurance}, okumele uyikhokhe ngaphezu kwemali oyibolekile;4
Applying for and accepting formal credit;Retention;MC-AOTA;i{Cost} {{yesikweletu}} ifaka ___________;Zonke ezibaliwe;Inzalo;Izimali;i{Insurance} (uma ibaliwe);i{Cost} {{yesikweletu}} ifaka inzalo, imali yokuqala isikweletu, imali ye {service}, kanye ne {insurance}, okumele uyikhokhe ngaphezu kwemali oyibolekile;12
Applying for and accepting formal credit;Retention;T/F;i{Cost} {{yesikweletu}} yinzalo, imali yokuqala isikweletu, kanye ne {insurance} uma ibaliwe;Iqiniso;Amanga;;;i{Cost} {{yesikweletu}} ifaka inzalo, imali yokuqala isikweletu, imali ye {service}, kanye ne {insurance}, okumele uyikhokhe ngaphezu kwemali oyibolekile;11
Applying for and accepting formal credit;Application;MC;________ yinzalo, imali yokuqala isikweletu, ne {insurance} uma ibaliwe, okumele uyikhokhe ngaphezu kwemali oyibolekile;Izindleko zesikweletu;Imali yom'kweletisi;Imali yokuqala isikweletu;iNtela yesikweletu;i{Cost} {{yesikweletu}} ifaka inzalo, imali yokuqala isikweletu, imali ye {service}, kanye ne {insurance}, okumele uyikhokhe ngaphezu kwemali oyibolekile;18
Applying for and accepting formal credit;Seed;MC;Ngaphezu kwenzalo, umkweletisi uvumelekile ukushaja imali yokuvula isikweletu kanye nemali ________;Ye {service};Yom'kweletisi ngenyanga;Ye {National Credit Act};Yangemuva ({arrears}) ngonyaka;i{National Credict Act} ivumela umkweletisi uku shaja imali yokuvula isikweletu {once-off} kanye nemali ye {service} ngenyanga.;4
Applying for and accepting formal credit;Retention;MC;Ngaphezu kwenzalo, umkweletisi uvumelekile ukushaja imali ye {service} ngenyanga kanye nemali ________;Yokuvula isikweletu {once-off};Ye {premium};Imali ephathelene nokuphatha isikweletu;Yangemuva ({arrears}) ngonyaka;i{National Credict Act} ivumela umkweletisi uku shaja imali yokuvula isikweletu {once-off} kanye nemali ye {service} ngenyanga.;9
Applying for and accepting formal credit;Retention;MC;Umkweletisi uvumelekile ukushaja ini ngaphezu kwenzalo yesikweletu?;Imali yokuqala isikweletu nemali ye {service};Imali yokuqala isikweletu nama {cost} esikweletu;Imali yomukweletisi nemali ye {service};Imali ye {service} ngenyanga nemali yesikweletu;i{National Credict Act} ivumela umkweletisi uku shaja imali yokuvula isikweletu {once-off} kanye nemali ye {service} ngenyanga.;11
Applying for and accepting formal credit;Application;T/F;Kumele ukhalaze uma umkweletisi ekushaja imali ye {service} ngenyanga;Amanga;Iqiniso;;;i{National Credict Act} ivumela umkweletisi uku shaja imali yokuvula isikweletu {once-off} kanye nemali ye {service} ngenyanga.;17
Applying for and accepting formal credit;Application;T/F; Uma umbolekisi wezimali ekubiza imali yokuqalisa.;Amanga;Iqiniso;;;i{National Credict Act} ivumela umkweletisi uku shaja imali yokuvula isikweletu {once-off} kanye nemali ye {service} ngenyanga.;17
Applying for and accepting formal credit;Seed;MC;Kwenzakalani uma isicelo sesikweletu siphumelele?;Ungakhetha ukuthatha isikweletu;Usesivumelwaneni sezimali;Kumele unike umkweletisi i{ID};Ukwazi ukuthenga noma yini;Uma isicelo sesikweletu siphumelele, uyakwazi ukukhetha ukuthatha noma ukusiyeka isikweletu. {{Awungeni nje}} {automatically} esivumelwaneni;2
Applying for and accepting formal credit;Retention;MC;Kwenzakala ini uma isicelo sesikweletu siphumelele?;Ungakhetha ukuthatha isikweletu;Kumele usithathe isikweletu;Ususithathile isikweletu;Kumele ukhokhe imali yokuqala;Uma isicelo sesikweletu siphumelele, uyakwazi {still} ukukhetha ukusithatha noma ukusiyeka isikweletu. {{Awungeni nje}} esivumelwaneni uma isicelo siphumelela;9
Applying for and accepting formal credit;Application;T/F;Ukuphumelela kwesikweletu kufana nesivumelwano sesikweletu;Amanga;Iqiniso;;;Uma isicelo sesikweletu siphumelele, uyakwazi {still} ukukhetha ukusithatha noma ukusiyeka isivumelwano sesikweletu;16
Applying for and accepting formal credit;Seed;T/F;Uma umkweletisi e{decline}a isicelo sesikweletu engakhetha ukungasho yini isizathu;Amanga;Iqiniso;;;Ngokusho kwe {National Credit Act}, unelungelo lokwazi ukuthi kungani umkweletisi engavumanga ukukunika isivumelwano sesikweletu uma ungasitholanga leso sivumelwano;2
Applying for and accepting formal credit;Retention;MC;Uma isicelo sesikweletu si{decline}a, umkweletisi kumele______________;Ekwazise ukuthi yini e{decline}a isicelo;Engazikhethela ukusho isizathu;Engakhetha ukushaja imali yokuvala isicelo;Engaku {black list}a;Ngokusho kwe {National Credit Act}, unelungelo lokwazi ukuthi kungani umkweletisi engavumanga ukukunika isivumelwano sesikweletu uma ungasitholanga leso sivumelwano;9
Applying for and accepting formal credit;Application;T/F;Uma isicelo sesikweletu si{decline}a, akumele wazi ukuthi yini isizathu;Amanga;Iqiniso;;;Ngokusho kwe {National Credit Act}, unelungelo lokwazi ukuthi kungani umkweletisi engavumanga ukukunika isivumelwano sesikweletu uma ungasitholanga leso sivumelwano;16
Applying for and accepting formal credit;Seed;MC;Kuyini isivumelwano sesikweletu?;Isivumelwano la ukhokha imali oyikweletayo;i{Invoice} yempahla oyifunayo;Isivumelwano sokukhokha;Isicelo sesikweletu;Isivumelwano sesikweletu yi {contract} yomthetho esho ukuthi kumele ukhokhe yonke imali oyibolekile kanye nezimali ezivunyelwe esivumelwaneni, ngasikhathi esishiwo;2
Applying for and accepting formal credit;Retention;T/F;Isivumelwano sesikweletu yilapha owenza khona isivumelwano sokukhokha ama {payment} ongawakhokhanga;Amanga;Iqiniso;;;Isivumelwano sesikweletu yi {contract} yomthetho esho ukuthi kumele ukhokhe yonke imali oyibolekile kanye nezimali ezivunyelwe esivumelwaneni, ngasikhathi esishiwo;9
Applying for and accepting formal credit;Retention;MC;{{Isivumelwano sesikweletu}} yilapha okhokha khona ini?;Yonke imali ngesikhathi esishiwo yisivumelwano;Enye yemali ngesikhathi esishiwo yisivumelwano;Yonke imali ongayikhokha;Yonke imali ongayikhona ngesikhathi sakho;i{Contract} yomthetho esho ukuthi kumele ukhokhe yonke imali oyibolekile kanye nezimali ezivunyelwe esivumelwaneni ngasikhathi esishiwo ibizwa ngesivumelwano sesikweletu;10
Applying for and accepting formal credit;Retention;MC;i{Contract} yom'thetho yokukhokha imali oyikweletayo ibizwa ngani?;Isivumelwano sesikweletu;Ukulingiselela isikweletu;Uhlelo lama {benefits};i{Policy document};i{Contract} yomthetho esho ukuthi kumele ukhokhe yonke imali oyibolekile kanye nezimali ezivunyelwe esivumelwaneni ngasikhathi esishiwo ibizwa ngesivumelwano sesikweletu;16
Applying for and accepting formal credit;Seed;MC;Yikhupha la okumele ufunde imibandela yesivumelwano sesikweletu?;Ungaka {sign}i lutho;Uqeda uku{sign}a;Uma ungena enkingeni;Uma uthola isikhathi;Isivumelwano sesikweletu yi {document} yomthetho. Kubaluleke kakhulu ukuthi usifunde usizwe kahle ungaka{sign}i lutho;2
Applying for and accepting formal credit;Retention;MC;Kumele uyifunde nini imibandela yesivumelwano sesikweletu?;Ungaka {sign}i lutho;Uqeda uku{sign}a;Uma kukhona okushaya amanzi;Uma usuzokhokha i{payment} yokugcina;Isivumelwano sesikweletu yi {document} yomthetho. Kubaluleke kakhulu ukuthi usifunde usizwe kahle ungaka{sign}i lutho;9
Applying for and accepting formal credit;Application;T/F; Ukusayina isivumelwano se {credit} ungakakufundi imigomo nemibandela nokwazi uma engumbolekisi wezimali ongokomthetho.;Amanga;Iqiniso;;;Isivumelwano sesikweletu yi {document} yomthetho. Kubaluleke kakhulu ukuthi usifunde usizwe kahle ungaka{sign}i lutho;16
Instalment agreement terminology;Seed;MC;Kuyini i{{Instalment}}?;Imali ekhokhwa ngesikhathi kuze kuphele isikweletu;Inani othenge ngalo esikweletini;Intela oyikhokhayo;Kuyini i{{instalment}}?;i{Instalment} yimali okumele uyikhokhe njalo ngesikhathi esithile. Ifaka inzalo kanye nemali yokuphatha ({admin fee});2
Instalment agreement terminology;Retention;MC;i{Instalment} kuyini?;Imali ekhokhwa ngesikhathi kuze kuphele isikweletu;Inani othenge ngalo kanye nenzalo;Isambha semali osayikweletayo;Izindleko ze {bank} ;i{Instalment} yimali okumele uyikhokhe njalo ngesikhathi esithile. Ifaka inzalo kanye nemali yokuphatha ({admin fee});9
Instalment agreement terminology;Application;T/F;i{{Instalment}} ayifaki {{inzalo}} kanye nezimali zokuphatha - lezo kumele uzikhokhe eceleni;Amanga;Iqiniso;;;i{Instalment} ifaka inzalo kanye nemali yokuphatha ({admin fee});16
Instalment agreement terminology;Seed;T/F;i{{Prime lending rate}} yizinga lenzalo elibekwe yi{SA Reserve Bank} lokubolekisa imali ema{bank}.;Iqiniso;Amanga;;;Izinga lenzalo elibekwe yi {SA Reserve Bank} lokubolekisa imali ema{bank} libizwa nge {prime lending rate}.;3
Instalment agreement terminology;Retention;MC;Libizwa ngani izinga lenzalo elibekwe yi {SA Reserve Bank} lokubolekisa imali ema{bank}?;{Prime lending rate};{Repo rate};Izinga le {Reserve Bank};Izinga lokunyuka kwamanani;Izinga lenzalo elibekwe yi {SA Reserve Bank} lokubolekisa imali ema{bank} libizwa nge {prime lending rate}.;10
Instalment agreement terminology;Application;T/F;Izinga lesiboniso senzalo elibekwe yi {South African Reserve Bank} libizwa nge {{repo rate}};Amanga;Iqiniso;;;Izinga lenzalo elibekwe yi {SA Reserve Bank} lokubolekisa imali ema{bank} libizwa nge {prime lending rate}.;16
Instalment agreement terminology;Seed;MC;Kunamazinga enzalo yesikweletu ({interest rates}) angu 2, yi {{fixed rate}} kanye ne _________ ;i{Linked} noma i{variable interest rate};Isilinganiso esiphantsi ({Flat rates});Izinga lenzalo eliqondile;Izinga lenzalo elingekho {fixed};Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};3
Instalment agreement terminology;Retention;MC;Yimaphi amazinga enzalo ({interest rates}) yesikweletu atholakalayo?;{Fixed} ne {linked} noma i{variable interest rate};i{Fixed} kanye ne {flat rate};Izinga lenzalo eliqondile ne {fixed interest rate};Izinga lenzalo eli{fixed} nelingekho {fixed};Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};10
Instalment agreement terminology;Application;T/F;Kunamazinga enzalo yesikweletu ({interest rates}) angu 2, yi {{fixed rate}} kanye ne {variable interest rate};Iqiniso;Amanga;;;Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};16
Instalment agreement terminology;Application;T/F;Kunamazinga enzalo yesikweletu ({interest rates}) angu 2, yi {{fixed rate}} kanye ne {linked interest rate};Iqiniso;Amanga;;;Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};16
Instalment agreement terminology;Seed;MC;Amazinga ({rates}) enzalo yesivumelwano sesikweletu angu 2 yi {variable} noma i{linked interest rate} kanye ne ________;{Fixed interest rate};{Interest rate} engekho {linked};{Prime interest rates};Inzalo yama {arrears};Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};3
Instalment agreement terminology;Retention;MC;Amazinga ({rates}) enzalo yesivumelwano sesikweletu angu 2 yi{linked interest rate} kanye ne ________;{Fixed interest rate};{Interest rate} engekho {linked};{Variable interest rates};Inzalo yokunyuka kwamanani;Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};10
Instalment agreement terminology;Retention;MC;Amazinga ({rates}) enzalo yesivumelwano sesikweletu angu 2 yi{variable interest rate} kanye ne ________;{Fixed interest rate};{Interest rate} enganyakazi;{Linked interest rates};Inzalo yama {arrears};Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};10
Instalment agreement terminology;Retention;MC;Amazinga ({rates}) enzalo yesivumelwano sesikweletu abizwa nge ___________;{Linked} noma i{variable} kanye ne {fixed rate};{Linked} kanye {variable interest rate};Inzalo yokunyuka kwamanani;Inzalo yama {arrears};Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};11
Instalment agreement terminology;Application;T/F;Kunamazinga enzalo ({interest rates}) yesikweletu angu 2, yi {{fixed rate}} kanye ne {variable interest rate};Amanga;Iqiniso;;;Amazinga enzalo esivumelwano sesikweletu angu 2 abizwa nge {fixed} kanye ne {variable} noma i{linked interest rate};16
Instalment agreement terminology;Seed;MC;Inzalo engashintshi ngezinyanga ibizwa nge ___________;{Fixed interest rate};{Flat interest rate};{Linked interest rate};{Prime interest rate};i{Fixed interest rate} ayishintshi ngezinyanga futhi ayishintshwa yi {prime lending rate};4
Instalment agreement terminology;Retention;MC;Kwenzakala ini nge {{fixed interest rate}}?;Ayishintshi ngezinyanga;Ishintsha kanye ne {prime interest rate};Ibekwe yi {Reserve Bank};Ashintsha ngezinga elifanayo ngenyanga;i{Fixed interest rate} ayishintshi ngezinyanga futhi ayishintshwa yi {prime lending rate};11
Instalment agreement terminology;Retention;T/F;i{{Linked interest rate}} ayishintshi ngezinyanga.;Amanga;Iqiniso;;;i{Fixed interest rate} ayishintshi ngezinyanga. i{Linked interest rate} ishintsha kanye ne {prime lending rate};12
Instalment agreement terminology;Retention;T/F;i{{Variable interest rate}} ayishintshi ngezinyanga.;Amanga;Iqiniso;;;i{Fixed interest rate} ayishintshi ngezinyanga. i{Variable interest rate} ishintsha kanye ne {prime lending rate};12
Instalment agreement terminology;Application;MC;Kwenzakala ini ngemali oyikhokha ngenyanga kuyi {{fixed interest rate}}?;Ayishintshi ngezinyanga;Ishintsha nokushintsha kwe {prime lending rate};Ishintsha ngenyanga;Afuneka ngosuku olufanayo ngenyanga;i{Fixed interest rate} ayishintshi ngezinyanga, kusho ukthi imali oyikhokha ngenyanga ayishintshi;17
Instalment agreement terminology;Seed;MC;Izinga lenzalo elishintsha kanye ne {prime rate} libizwa ngani?;{Linked} noma i{variable interest rate};i{Fixed interest rate};i{Exchange rate};i{Repo rate};i{Linked} kanye ne {variable interest rate} iyanyuka okanye iyehla ngokunyuka noma ngokwehle kwe {prime lending rate};4
Instalment agreement terminology;Retention;MC;i{{Linked interest rate}} imi kanjani?;i{Connected} ne {prime lending rate};Ungayishintsha ngokubona kwakho;Ayishintshi ngenyanga;Ishintsha ne {exchange rate};i{Linked} kanye ne {variable interest rate} iyanyuka okanye iyehla ngokunyuka noma ngokwehle kwe {prime lending rate};11
Instalment agreement terminology;Retention;MC;i{{Variable interest rate}} imi kanjani?;Ishintsha ne {prime lending rate};Ungayishintsha ngokubona kwomkweletisi;Ayishintshi ngenyanga;Ithintwa yi {exchange rate};i{Linked} kanye ne {variable interest rate} iyanyuka okanye iyehla ngokunyuka noma ngokwehle kwe {prime lending rate};11
Instalment agreement terminology;Retention;T/F;i{{Fixed interest rate}} i{connected} kuyi {prime lending rate};Amanga;Iqiniso;;;i{Linked} kanye ne {variable interest rate} iyanyuka okanye iyehla ngokunyuka noma ngokwehle kwe {prime lending rate}. i{Fixed interest rate} ayishintshi nyanga zonke.;12
Instalment agreement terminology;Application;MC;Kwenzakala ini ngemali oyikhokha ngenyanga uma une {{linked interest rate}}?;Ishintsha nokushintsha kwe {prime lending rate};Ayishintshi ngenyanga;Ishintsha ngenyanga;Inyuka kanye nokunyuka kwamanani;i{Linked} kanye ne {variable interest rate} iyanyuka okanye iyehla ngokunyuka noma ngokwehle kwe {prime lending rate}. Imalioyikhokha ngenyanga izoshintsha uma kushintsha i{prime interest rate};17
Instalment agreement terminology;Application;MC;Kwenzakala ini ngemali oyikhokha ngenyanga uma une {{variable interest rate}}?;Ishintsha kanye ne {prime lending rate};Ayishintshi ngenyanga;Ishintsha ngenyanga yesibili;Ishintsha ne {exchange rate};i{Linked} kanye ne {variable interest rate} iyanyuka okanye iyehla ngokunyuka noma ngokwehle kwe {prime lending rate}. Imalioyikhokha ngenyanga izoshintsha uma kushintsha i{prime interest rate};17
Instalment agreement terminology;Seed;MC;Kuyini imigomo yokukhokhela isikweletu?;Isikhathi onaso sokukhokha isikweletu;Imali okumele uyikhokhe ngenyanga;Isambha semali oyikweletayo;Isikhathi sokuphumelelisa isikweletu;Imigomo yokukhokha isikweletu yisikhathi onaso sokukhokha imali oyibolekile. Lesiskhathi si{affect}a imali oyikhokha ngenyanga kanye nenzalo;3
Instalment agreement terminology;Retention;MC;Imigomo yokukhokhela isikweletu kuyini?;Isikhathi sokukhokha imali oyikweletayo;Isikhathi sokulinda isikweletu;Isikhathi somusa semali engakhokhiwe;Imali ekumele ikhokhwe;Imigomo yokukhokha isikweletu yisikhathi onaso sokukhokha imali oyibolekile. Lesiskhathi si{affect}a imali oyikhokha ngenyanga kanye nenzalo;10
Instalment agreement terminology;Application;MC;Isikhathi sokubuyisela imali othenge ngayo esikweletini sibiszwa ngani?;i{Repayment term};Izinga lenzalo;Imali oyikweletayo;Isikweletu esingashintshi;Imigomo yokukhokha imali othenge izinto esikweletini yisikhathi sokukhokha imali ({repayment term});16
Instalment agreement terminology;Seed;T/F;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe {{kakhulu}};Iqiniso;Amanga;;;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe {{kakhulu}} ;4
Instalment agreement terminology;Retention;MC;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga. Kusho ukuthini lokhu?;Ukhokha kakhulu ekugcineni;Ugcine ukhokhe kancane ekugcineni;Ukhokha imali ehlukile ngenyanga;Imali oyikhokhayo ishintsha nenzalo;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe {{kakhulu}} ;11
Instalment agreement terminology;Retention;T/F;Ukukhokha isikweletu ngesikhathi eside kunyusa imali oyikhokha ngenyanga kodwa ugcina ukhokhe kancane;Amanga;Iqiniso;;;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe {{kakhulu}} ;11
Instalment agreement terminology;Application;T/F;Isikhathi okhokha ngaso isikweletu asenzi mehluko emalini ogcina uyikhokhile;Amanga;Iqiniso;;;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe {{kakhulu}} ;17
Instalment agreement terminology;Seed;T/F;Ukukhokha isikweletu ngesikhathi esincane kunyusa imali oyikhokha ngenyanga kodwa ugcina ukhokhe kancane;Iqiniso;Amanga;;;Ukukhokha isikweletu ngesikhathi esincane kunyusa imali oyikhokha ngenyanga kodwa ugcina ukhokhe kancane;4
Instalment agreement terminology;Retention;MC;Ukukhokha isikweletu ngesikhathi esincane kunyusa imali oyikhokha ngenyanga okusho ukuthini?;Ukhokha kancane ekugcineni;Ugcina ukhokhe kakhulu;Udinga i{balloon payment};Udinga i{deposit};Ukukhokha isikweletu ngesikhathi esincane kunyusa imali oyikhokha ngenyanga kodwa ugcina ukhokhe kancane ekugcineni;11
Instalment agreement terminology;Application;T/F;Ukukhokha isikweletu ngesikhathi esincane kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe kakhulu;Amanga;Iqiniso;;;Ukukhokha isikweletu ngesikhathi eside kwehlisa imali oyikhokha ngenyanga kodwa ugcina ukhokhe kakhulu ekugcineni;17
Instalment agreement terminology;Seed;MC;Kuyini i{{deposit}}?;Imali oyikhokha ngaphambili ekuqaleni kwesikweletu;i{Balloon payment};Iholidi Lokukhokha;Imali yokuthatha isikweletu;i{Deposit} yimali oyikhokha ekuqaleni kwesikweletu. Isuswa emalini oyikweletayo, okwehlisa imali odinga ukuyikhokha;3
Instalment agreement terminology;Retention;MC;Ibizwa ngani imali oyikhokha ekuqaleni kwesikweletu?;i{Deposit};i{Balloon payment};Ukwazisa kwesikweletu;Iholidi Lokukhokha;i{Deposit} yimali oyikhokha ekuqaleni kwesikweletu. Isuswa emalini oyikweletayo, okwehlisa imali odinga ukuyikhokha;11
Instalment agreement terminology;Application;T/F;i{{Deposit}} yimali oyikhokha ekupheleni kwesikweletu;Amanga;Iqiniso;;;i{Deposit} yimali oyikhokha ekuqaleni kwesikweletu, hhayi ekugcineni. Isuswa emalini oyikweletayo, okwehlisa imali odinga ukuyikhokha;16
Instalment agreement terminology;Seed;T/F;Ukuba ne {{deposit}} kusho ukuthi imali oyikhokha ngenyanga iyehla;Iqiniso;Amanga;;;Uma ukhokha i{deposit} kusho ukuthi uboleka imali encane, okwehlisa imali oyikhokha ngenyanga;4
Instalment agreement terminology;Retention;MC;Ukuba ne {{deposit}} kusho ukuthini?;Imali oyikhokha ngenyanga ephansi;Imali yokugcina isikweletu ephansi; i{Tax} yomholo ephansi.;Imali yokwenza izinto encane;Uma ukhokha i{deposit} imali oyikweletayo iyehla, okwehlisa imali oyikhokha ngenyanga;12
Instalment agreement terminology;Application;T/F;i{{Deposit}} ayishintshi imali oyikhokha ngenyanga.;Amanga;Iqiniso;;;Uma ukhokha i{deposit} imali oyikweletayo iyehla, okwehlisa imali oyikhokha ngenyanga;17
