Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Applying for and accepting vehicle finance;Retention;T/F;Uma isicelo semali yemoto ({vehicle finance}) yakho singavunyelwe kudinga uaplayele ku {NCR} ukuthola ukuthi kungani;Amanga;Iqiniso;;;Ngokwe {National Credit Act}, unelungelo lokubuza ukuthi umbolekisi wezimali ({credit Provider}) akasivumanga ngani isicelo sesikweletu ({credit application});9
Applying for and accepting vehicle finance;Application;T/F;Uzokwazi ukuthi isicelo semali yemoto ({vehicle finance}) asivunywanga uma ungezwa lutho kumbolekisi wemali;Amanga;Iqiniso;;;Ngokwe {National Credit Act}, unelungelo lokubuza ukuthi umbolekisi wezimali ({credit Provider}) akasivumanga ngani isicelo sesikweletu ({credit application});16
Applying for and accepting vehicle finance;Seed;T/F;Ngaphezulu kwama {instalment} ezinyanga, kumele ubeke imali yezindleko njengo {petrol}, umshwalense nokulungiswa kwemoto;Iqiniso;Amanga;;;Imoto ibiza ngaphezulu kwezindleko zenyanga - udinga nemali yokuthi ihlale isebenza;3
Applying for and accepting vehicle finance;Retention;MC-AOTA;Ngaphezulu kwama {instalment} enyanga emoto, kufanele ubeke imali yani?;Zonke ezibaliwe;Ka {petrol};Ye {insurance};Ye {maintenance};Imoto ibiza ngaphezulu kwezindleko zenyanga - udinga nemali yokuthi ihlale isebenza;10
Applying for and accepting vehicle finance;Application;T/F;Uma uhlela ukuthenga imoto into ofanele uwongele ama{instalments} enyanga. ;Amanga;Iqiniso;;;Imoto ibiza ngaphezulu kwezindleko zenyanga - udinga nemali yokuthi ihlale isebenza e.g. i{fuel}, Umshwalenze, I-sevisi, nokunye nokunye.;17
Applying for and accepting vehicle finance;Seed;MC-AOTA;Uma uthenga imoto esisebenzile, kubalulekile ukuthi uhlole ini?;Zonke ezibaliwe;Umlando wesevisi ogcwele ({full service history});Ukuthi ikeyathola ingozi;Isendleleni ngokomthetho.;Ngokuya nge {Consumer Protection Act}, umthengisi kufanele akutshele amaphutha kodwa nawe kufanele uzibhekele ngokuphelele;3
Applying for and accepting vehicle finance;Retention;T/F;Uma imoto esisebenzile inawo umlando wesevisi kuzokhombisa ukuthi imoto ibiphethwe kahle;Iqiniso;Amanga;;;Ngokuya nge {Consumer Protection Act}, umthengisi kufanele akutshele amaphutha kodwa nawe kufanele uzibhekele ngokuphelele;10
Applying for and accepting vehicle finance;Application;T/F;Uma uthenga imoto esisebenzile, kungumsebenzi wakho ukuthi uhlole imoto ngokuphelele;Iqiniso;Amanga;;;Ngokuya nge {Consumer Protection Act}, umthengisi kufanele akutshele amaphutha kodwa nawe kufanele uzibhekele ngokuphelele;17
Applying for and accepting vehicle finance;Seed;T/F;Ngaphambi kokusayina isivumelwano semali kufanele uzwisise imigomo nemibandela ({Term and Conditions}) ngokuphelele;Iqiniso;Amanga;;;Incwadi yesivumelwano semali isemthethweni kanti iyakubopha ngakho ke kubalulekile ukuthi uyizwisise ngaphambili kokuthi uyisayine ({sign});2
Applying for and accepting vehicle finance;Retention;MC-AOTA;Ngaphambili kokusayina isivumelwano se mali, yini ofanele uqiniseke ukuthi uyayizwisisa?;Zonke ezibaliwe;Umangabe kunenkokhelo ye {ballooon} efunekayo;Uma ngabe i{rate} yenzalo yakho iyashintsha;Ukhokha nini/Ukhokha malini;Incwadi yesivumelwano semali isemthethweni kanti iyakubopha ngakho ke kubalulekile ukuthi uyizwisise ngaphambili kokuthi uyisayine ({sign});9
Applying for and accepting vehicle finance;Application;T/F;Asikho isidingo sokukhathazeka ukuthi une {Balloon} kuze kufike ekugcineni kwesivumelwano sakho semali;Amanga;Iqiniso;;;Kufanele uqiniseke ukuthi unayo noma awunayo unkhokhelo/Ukukhokha kwe{Balloon} ngaphambili kokusayina isivumelwano semali ukuze ungathuki ekugcineni;16
Vehicle finance agreement terminology;Seed;MC;Yini i{vehicle finance} yakho {instalments}?;Inani lemali ofanele uyibhadale ngenyanga;Inani lemoto;Inani lenzalo oyikhokhayo;Elinye igama le {deposit};i{Instalment} imali yemoto oyikhokhayo njalo ngenyanga kanti ifaka nenzalo nemali yenyanga yesevisi.;2
Vehicle finance agreement terminology;Retention;MC;Yini i{Vehicle finance} {instalment}?;Ukukhokha kwenyanga kwesikweletu semoto;Inani lemoto kanye nenzalo;Inani eliphelele odinga ukulikhokha; Imali yenyanga ye sevisi.;i{Instalment} imali yemoto oyikhokhayo njalo ngenyanga kanti ifaka nenzalo nemali yenyanga yesevisi.;9
Vehicle finance agreement terminology;Application;T/F;Ungakhetha ukuthi ufuna ukukhokha malini njalo ngenyanga;Amanga;Iqiniso;sikhathi senzalo;;Kufanele ubhadale inani le {instalment} ekusivumelwano se {vehicle finance};16
Vehicle finance agreement terminology;Seed;T/F;i{SA Reserve Bank} ibeka isilinganiso ({{rate}}) sokubolekana njengomgomo wokubolekisana ngemali kwama {bank} ebantwini;Iqiniso;Amanga;;;i{{Prime rate}} yokubolekisana ngemali iyi {benchmark rate} ekuyisiinganiso esibekwa yi {SA Reserve Bank} ekubolekiseni imali;3
Vehicle finance agreement terminology;Retention;MC;Libizwa ukuthi yini igama le {rate} ewumgomo ebekwa i{SA Reserve bank} kuma {banks} ngokubolekisana nemali kubantu?;i{Prime lending rate};i{Repo rate};i{Rate} yenzalo nqo ({main interest rate});i{Exchange control rate};i{Prime rate} yokubolekisana ngemali iyi {benchmark rate} ekuyisiIinganiso esibekwa yi {SA Reserve Bank} ekubolekiseni imali;10
Vehicle finance agreement terminology;Application;T/F;i{{Repo rate}} iyi{benchmark} ebekwe yi{SA Reserve Bank} kuma {bank} ukuze aboleke ngayo imali kubantu;Amanga;Iqiniso;;;i{Prime rate} yokubolekisana ngemali iyi {benchmark rate} ekuyisiinganiso esibekwa yi {SA Reserve Bank} ekubolekiseni imali;17
Vehicle finance agreement terminology;Seed;T/F;Ku sivumelwano se {vehicle finance}, kune {rate} ye inzalo e{{fixed }} ne {{Linked}}/{{Variable}};Iqiniso;Amanga;;;Zimbili izinhlobo ze {rate} yenzalo kusivumelwano se {vehicle finance}, zibizwa nge {fixed} ne {variable}/i{linked} interest rates;4
Vehicle finance agreement terminology;Retention;MC;Ku sivumelwano se {vehicle finance}, kune rate yenzalo e{{fixed}} nenjani futhi?;{Linked} / {variable interest rate};{Standard rates};{Compound rate};{Accelerating rates};Zimbili izinhlobo ze {rate} yenzalo kusivumelwano se {vehicle finance}, zibizwa nge {fixed} ne {variable}/i{linked} interest rates;11
Vehicle finance agreement terminology;Retention;MC;Ku sivumelwano se {vehicle finance}, kune rate yenzalo ehlanganisiwe/ehlukanisiwe {{Linked}}/{{Variable}}_________;Inzalo ene {rate} engajiki ({fixed rate});i{Rate} yenzalo yokugcina;Ama {standard rates}; Inzalo ene{rate} ekhulayo/khuphukayo;Zimbili izinhlobo ze {rate} yenzalo kusivumelwano se {vehicle finance}, zibizwa nge {fixed} ne {variable}/i{linked} interest rates;11
Vehicle finance agreement terminology;Application;MC;Iziphi izinhlobo ezimbili ze-interest rate ezikunkontilaka {contract} ye-vehicle finance ongakhetha kuzona? ;Ama {fixed} nama {linked} / {variable interest rate};Ama {Linked} nama {variable interest rate};Ama {fixed} nama {compound rate};Ama {linked} nama {final interest rate};Izinhlobo ezimbili zama {interest rate} esivumelwano se vehicle finance yi {fixed} ne {variable}/i{linked} interest rates;18
Vehicle finance agreement terminology;Seed;MC;Inhlobo yiphi ye-interest rate ehlala ifana zinyanga zonke?;i{Interest rate} egciniwe ({fixed});i{Interest rate} e{link}iwe ({Linked});i{Interest rate} eqondile ({straight});i{Variable interest rate};i{Interest rate} engajiki ({fixed}) ihlala ifana zinyanga zonke kanti ayithintwa yi {prime lending rate};5
Vehicle finance agreement terminology;Retention;MC;Inzalo efikhsiwe ({{fixed interest rate}}) ku sivumelwano se {vehicle finance} iyisima kanjani?;Ayishintshi ne {prime lending rate};Iyashintsha ne {prime lending rate};Ifikhsiwe ({{fixed}}) yi {Reserve bank};Ikhuphuka nokunyuka kwamanani ({inflation});i{Interest rate} engajiki ({{fixed}}) ihlala ifana zinyanga zonke kanti ayithintwa yi {prime lending rate};12
Vehicle finance agreement terminology;Retention;T/F;i{Interest rate} e{link}iwe ({{linked}}/{{variable}}) ihlala ifana zinyanga zonke;Amanga ;Iqiniso;;;i{Interest rate} engajiki ({{fixed}}) ihlala ifana zinyanga zonke kanti ayithintwa yi {prime lending rate};12
Vehicle finance agreement terminology;Application;T/F;Uma une {{interest rate}} efikhsiwe ({{fixed}}), ukukhokha kwakho kwazinyanga zonke kushintsha ne {prime lending rate};Amanga;Iqiniso;;;i{{Interest rate}} engajiki ({{fixed}}) ihlala ifana zinyanga zonke kanti ayithintwa yi {prime lending rate}, ngakho nokukhokha kwakho kuhlala kufana njalo ngenyanga;18
Vehicle finance agreement terminology;Seed;MC;Hlobo luni lwe {interest rate} elishintsha ne {prime lending rate}?;i{Linked} / {variable interest rate};i{Fixed interest rate};i{Inflation rate};i{Dependent interest rate};i{{Linked}}/{{variable interest rate}} iyehla inyuke uma i{prime lending rate} ikhuphuka noma yehla;5
Vehicle finance agreement terminology;Retention;MC;i{{variable}}/{{linked interest rate}}_________;Ishintsha ne{prime lending rate}; Ayithintwa i{prime lending rate};Ikhuphuka ne{inflation rate}; Ihlangene ne{exchange rate};i{{Linked}}/{{variable interest rate}} iyehla inyuke uma i{prime lending rate} ikhuphuka noma yehla;12
Vehicle finance agreement terminology;Application;T/F;Uma une{{linked}}/{{variable interest rate}}, Ukukhokha kwakho imoto kuhlala kufana njalo ngenyanga.;Amanga;Iqiniso;;;i{{Linked}}/{{variable interest rate}} iyehla inyuke uma i{prime lending rate} ikhuphuka noma yehla, ngakho ke ukukhokha kwakho kuzoshintsha nokushintsha kwe {prime lending rate};18
Vehicle finance agreement terminology;Application;MC;Uma une {{linked}}/{{variable interest rate}}, ukukhokha kwakho ngenyanga kwenza njani?;Iyashintsha uma i{prime lending rate} ishintsha;Ihlala ifana njalo ngenyanga;Ishintsha njalo ngenyanga eyesibili;Ikhuphuka ne {inflation};i{{Linked}}/{{variable interest rate}} iyehla inyuke uma i{prime lending rate} ikhuphuka noma yehla, ngakho ke ukukhokha kwakho kuzoshintsha nokushintsha kwe {prime lending rate};18
Vehicle finance agreement terminology;Seed;MC;Iyini i{{finance period}}?;Isikhathi okufanele ubhadale ngaso imoto yakho;Ukukhokha kwakho zinyanga zonke;Inani lenzalo ofanele ulibhadale;Unyaka wezimali;i{{Finance period}} isikhathi ofanele ubhadale ngaso imoto yakho. Ubude be {{finance period}} buthinta inani lemali oyikhokhayo nobuningi benzalo oyikhokhayo;3
Vehicle finance agreement terminology;Retention;MC;i{{Finance period}} yi________ ;Isikhathi osithathayo ukukhokha imoto yakho;Isikhathi osilindayo ukuthola imali;Isikhathi osothathayo ukuaplayela isikweletu;Isikhathi somusa sokukhokha ngemuva kwesikhathi;i{{Finance period}} isikhathi ofanele ubhadale ngaso imoto yakho. Ubude be {finance period} buthinta inani lemali oyikhokhayo nobuningi benzalo oyikhokhayo;10
Vehicle finance agreement terminology;Application;MC;Ubude besikhathi ofanele ubhadale imoto yakho ngaso yi___________ ;{Finance period};{Rate} yokukhokha;Sikhathi senzalo;Sikhathi sesikweletu;Ubude besikhathi ofanele ubhadale imoto yakho sibizwa ngokuthi i{finance period};17
Vehicle finance agreement terminology;Seed;T/F;Isikweletu esikhokhwa ngesikhathi eside sikhokha kancane ngenyanga kodwa ukhokha inzalo eningi ekugcineni;Iqiniso;Amanga;;;Ukukhokha imoto isikhathi eside kwehlisa ukukhokha kwezinyanga zonke kodwa ukhokha imali yenzalo eningi ngokuphelele;4
Vehicle finance agreement terminology;Retention;MC;Nge {{finance period}} ende, ukhokha okuphansi zinyanga zonke kodwa__________;Ukhokha inzalo eningi ngokuphelele; Ukhokha inzalo encane ngokuphelele;Ukhokha kakhulu njalo ngenyanga;Ukhokha imali ehlukile njalo ngenyanga;Ukukhokha imoto isikhathi eside kwehlisa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo eningi ngokuphelele;11
Vehicle finance agreement terminology;Retention;T/F;Nge {{finance period}} ende ukhokha kakhulu njalo ngenyanga kodwa ukhokha inzalo encane ngokuphelele;Amanga;Iqiniso;;;Ukukhokha imoto isikhathi eside kwehlisa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo eningi ngokuphelele;12
Vehicle finance agreement terminology;Application;MC;Isiphi isikhathi se {{finance period}} omele ukusikhetha kuze ukhokhe kancane ngenyanga kodwa inzalo eningi ngokuphelele?;Iminyaka ewu 6;Iminyaka ewu 5;Iminyaka ewu 4.5;Iminyaka ewu 4;Ukukhokha imoto isikhathi eside (kanjengo 6 {years}) kwehlisa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo eningi ngokuphelele;18
Vehicle finance agreement terminology;Seed;T/F;Nge {{finance period}} emfishane, ukhokha KAKHULU ngenyanga kodwa ugcina ukhokhe inzalo encane ngokuphelele;Iqiniso;Amanga;;;Ukukhokha imoto isikhathi eside kwehlisa ukukhokha kwezinyanga zonke kodwa ukhokha imali yenzalo eningi ngokuphelele;4
Vehicle finance agreement terminology;Retention;MC;Nge {{finance period}} emfishane ukhokha KAKHULU ngenyanga kodwa_________;Ukhokha inzalo encane ngokuphelele;Ukhokha inzalo eningi ngokuphelele;Imali iyanyuka ngezinyanga;Ukhokha imali ehlukile ngenyanga;Ukukhokha imoto isikhathi eside kwehlisa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo eningi ngokuphelele;11
Vehicle finance agreement terminology;Retention;T/F;Nge {{finance period}} emfishane ukhokha KANCANE ngenyanga kodwa ugcina ukhokhe inzalo ENKULU ekugcineni;Amanga;Iqiniso;;;Ukukhokha imoto isikhathi eside kwehlisa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo eningi ngokuphelele;12
Vehicle finance agreement terminology;Application;T/F;Akwenzi mehluko ukukhokhela isikweletu ngesikhathi eside noma esifushane;Amanga;Iqiniso;;;Ukukhokha imoto isikhathi esifushane kunyusa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo encane ngokuphelele;17
Vehicle finance agreement terminology;Application;MC;Iyiphi i{{finance period}} ekumele uyikhethe ukukhokha KAKHULU ngenyanga kodwa ukukhokha inzalo encane ngokuphelele?;{4 years};{4}.{5 years};{5 years};{6 years};Ukukhokha imoto isikhathi esifushane (kanjengo 4 {years}) kunyusa imali oyikhokhayo ngenyanga kodwa ukhokha imali yenzalo encane ngokuphelele;18
Vehicle finance agreement terminology;Seed;MC;Kuyini i{{balloon payment}}?;Isamba semali esidingekayo ekupheleni kwesivumelwano sesikweletu;Ifana ne {deposit};Iholidi lokukhokha;Izimali nenzalo;i{{Balloon payment}} isamba semali esidinga ukukhokhwa ekupheleni kwesivumelwano se {vehicle finance};3
Vehicle finance agreement terminology;Retention;MC;i{{Balloon payment}} isamba semali esidinga ukukhokhwa__________;Ekupheleni kwesivumelwano se {vehicle finance};Ekuqaleni kwesivumelwano se {vehicle finance};Uma kunenyanga engakhokhiwe;Uma uthatha iholidi ekukhokheni;i{{Balloon payment}} isamba semali esidinga ukukhokhwa ekupheleni kwesivumelwano se {vehicle finance};10
Vehicle finance agreement terminology;Application;T/F;i{{Balloon payment}} isamba semali esidinga ukukhokhwa ekuqaleni kwesivumelwano se {vehicle finance};Amanga;Iqiniso;;;i{{Balloon payment}} isamba semali esidinga ukukhokhwa ekupheleni kwesivumelwano se {vehicle finance};17
Vehicle finance agreement terminology;Seed;MC;i{{Balloon payment}} inciphisa imali ye {installment} kodwa ___________;Ukhokha inzalo eningi ngokuphelele;Udinga i{deposit};Awutholi holidi ekukhokheni;Ukhokha intela eningi;i{{Balloon payment}} inciphisa imali oyikhokha ngenyaga kodwa ugcina ukhokhe inzalo eningi. Unesamba semali futhi omele ukusikhokha ekupheleni kwesivumelwano;4
Vehicle finance agreement terminology;Retention;MC;Kuyini isizathu se {{balloon payment}}?;i{installment} ephansi kodwa inzalo eningi;i{Installment} ephezulu kodwa inzalo ephansi;Akunasidingo se {deposit};Intela nezimali eziphansi;i{{Balloon payment}} inciphisa imali oyikhokha ngenyaga kodwa ugcina ukhokhe inzalo eningi. Unesamba semali futhi omele ukusikhokha ekupheleni kwesivumelwano;11
Vehicle finance agreement terminology;Application;T/F;Ukuthatha i{{balloon payment}} kwehlisa inzalo oyikhokhayo;Amanga;Iqiniso;;;i{{Balloon payment}} inciphisa imali oyikhokha ngenyaga kodwa ugcina ukhokhe inzalo eningi. Unesamba semali futhi omele ukusikhokha ekupheleni kwesivumelwano;18
Vehicle finance agreement terminology;Seed;T/F;i{{Balloon payment}} iphoqekile uma uthatha i{vehicle finance};Amanga;Iqiniso;;;i{{Balloon payment}} ayisiso isidingo ekutholeni isikweletu semoto. Uma ufuna ukwehlisa imali yenyanga oyikhokhayo ({installment}), kuncono ukukhipha i{deposit} noma ukukhetha imoto ebiza kancanyane;5
Vehicle finance agreement terminology;Retention;T/F;Ungakhetha ukuthi ufuna i{balloon payment} noma cha kuyi {vehicle finance} yakho;Iqiniso;Amanga;;;i{{Balloon payment}} ayisiso isidingo ekutholeni isikweletu semoto. Uma ufuna ukwehlisa imali yangenyanga oyikhokhayo ({installment}), kuncono ukukhipha i{deposit} noma ukukhetha imoto ebiza kancanyane;12
Vehicle finance agreement terminology;Application;Y/N;Uma unikwa intengo yesikweletu ehamba ne {balloon payment}, uphoqekile na ukuyithatha i{balloon payment}?;No;Yebo;;;i{Balloon payment} ayisiso isidingo ekutholeni isikweletu semoto. Uma ufuna ukwehlisa imali yangenyanga oyikhokhayo ({installment}), kuncono ukukhipha i{deposit} noma ukukhetha imoto ebiza kancanyane;19
Vehicle finance agreement terminology;Seed;MC;Kuyini i{{deposit}};Imali oyikhokha ngaphambili;Imali oyikhokha ekugcineni;i{Insurance};i{Commission} kamthengisi wemoto;i{{Deposit}} imali oyikhokhayo ngaphambi kokuqala kwesivumelwano se {vehicle finance}. Ikhishwa enanini lemoto okwenza ube nesikweletu esincanyane;3
Vehicle finance agreement terminology;Retention;MC;Imali ekhokhwa ngaphambi kwentengiso yesikweletu semoto ibizwa nge___________;{Deposit};{Balloon payment};Imali;{Commission};i{{Deposit}} imali oyikhokhayo ngaphambi kokuqala kwesivumelwano se {vehicle finance}. Ikhishwa enanini lemoto okwenza ube nesikweletu esincanyane;10
Vehicle finance agreement terminology;Application;T/F;Ukuba ne {{deposit}} kuyimpoqo ekutholeni isikweletu semoto ({vehicle finance});Amanga;Iqiniso;;;i{{Deposit}} ayiphoqekile ekutholeni isikweletu semoto ({vehicle finance});17
Vehicle finance agreement terminology;Seed;T/F;Imali oyikhokha ngenyanga ({installment}) iba ncanyane uma une {{deposit}};Iqiniso;Amanga;;;Uma ukwazi ukukhokha i{{deposit}}, usalelwa yimali encanyane yesikweletu. Lokhu kwehlisa imali oyikhokhayo ngenyanga;4
Vehicle finance agreement terminology;Retention;MC;Ukuba ne {{deposit}} kwehlisa ini?;i{Installment} (imali oyikhokha ngenyanga);Imali ye {petrol};Intela;Izimali;Uma ukwazi ukukhokha i{{deposit}}, usalelwa yimali encanyane yesikweletu. Lokhu kwehlisa imali oyikhokhayo ngenyanga;11
Vehicle finance agreement terminology;Application;T/F;Uma ufuna ukukhokha kancane ngenyanga ({installment}), kuhlakaniphile ukubeka imali ye {{deposit}};Iqiniso;Amanga;;;Uma ukwazi ukukhokha i{{deposit}}, usalelwa yimali encanyane yesikweletu. Lokhu kwehlisa imali oyikhokhayo ngenyanga;18
Vehicle finance agreement terminology;Application;MC;Iyiphi inketho eyenza ube nenzalo ephansi?;{10% deposit};{10% balloon payment};{30% balloon payment};Lutho kwezibaliwe;Uma ukwazi ukukhokha i{deposit}, usalelwa yimali encanyane yesikweletu. Nge {balloon payment} ugcina ukhokhe inzalo eningi;19
Vehicle finance agreement terminology;Seed;MC-F;Ikhava ini i{{comprehensive car insurance}}?;Ikhava ukutshontshwa, i{write}-{off}, nomonakalo wengozi;Uma kukhona ukwenzeka kuwe;Ukufa kwemoto;Zonke ezibaliwe;i{{Comprehensive insurance}} ikhava (ngokomshwalense) umonakalo wengozi, ukuntshontshwa ne {write}-{off}, kanye nengozi yomunye um'lingiswa uma kwenzakala ingozi ;4
Vehicle finance agreement terminology;Retention;T/F;i{{Comprehensive car insurance}} umshwalense okhava imali yemoto uma kwenzeka utho kuwe;Amanga;Iqiniso;;;i{CREDIT LIFE insurance} ikhava imali yakho oyikhokha ngenyanga uma kukhona okwenzakala kuwe. i{COMPREHENSIVE} ikhava imoto yakho ebugebengwini, emonakalweni wengozi, ne {write}-{off} {etc.};11
Vehicle finance agreement terminology;Application;MC;Uma imoto yakho intshontshwa, ikhavwa yini?;{Comprehensive insurance};{Credit life insurance};{Third party insurance};{Road Accident Fund};i{Comprehensive insurance} ikhava (ngokomshwalense) umonakalo wengozi, ukuntshontshwa ne {write}-{off}, kanye nengozi yomunye um'lingiswa uma kwenzakala ingozi ;17
Vehicle finance agreement terminology;Seed;T/F;i{{Comprehensive car insurance}} ayiphoqekile esivumelwaneni se {vehicle finance};Amanga;Iqiniso;;;Umshwalense we {Comprehensive insurance} ujwayele ukuba yimpoqo esivumelwaneni sesikweletu semoto ({vehicle finance}). Uvumelekile kodwa ukuzikhethela okunika umshwalense;5
Vehicle finance agreement terminology;Retention;MC-F;i{Vehicle finance} ekuyisikweletu semoto idinga ube nani?;{Comprehensive insurance};{Shortfall insurance};Umshwalense wokuhwayeka kwemoto;Zonke ezibaliwe;Umshwalense we {Comprehensive insurance} ujwayele ukuba yimpoqo esivumelwaneni sesikweletu semoto ({vehicle finance}). Uvumelekile kodwa ukuzikhethela okunika umshwalense;12
Vehicle finance agreement terminology;Application;T/F;Umkweletisi wesikweletu semoto engaphoqa ukuthi uthathe muphi umshwalense we {comprehensive car insurance};Amanga;Iqiniso;;;Uvumelekile ukuzikhethela okunika umshwalense we {comprehensive insurance};18
Vehicle finance agreement terminology;Seed;MC;Ikhava ini i{{third party insurance}}?;Imoto yomunye uma usengozini;Imoto yakho uma ingena engozini;Imoto yakho uma intshontshwa;Umonakalo wephasenja uma ungena engozini;Umshwalense we {third}-{party} ukhava umonakalo womuntu osengozini naye kuphela;5
Vehicle finance agreement terminology;Retention;T/F;i{{Third party insurance} ingumshwalense ofana ne {{comprehensive insurance}};Amanga;Iqiniso;;;Umshwalense we {third}-{party} ukhava umonakalo womuntu osengozini naye kuphela. i{Comprehensive insurance} yona ikhava izicelo ze {third}-{party}, umonakalo wengozi, ukuntshontshwa ne {write}-{off};12
Vehicle finance agreement terminology;Application;Y/N;i{{Comprehensive insurance}} iyazikhava yini izinkinga ze {third}-{party} (umlingiswa engozini)?;Yebo;Cha;;;i{Comprehensive insurance} umshwalense okhava izicelo ze {third}-{party}, umonakalo wengozi, ukuntshontshwa ne {write}-{off};18
Vehicle finance agreement terminology;Seed;T/F;i{{Credit life insurance}} ayiphoqi umuntu kodwa umkweletisi wemali yemoto engadinga kuwe ube nayo;Iqiniso;Amanga;;;Umshwalense we {credit life} awsiyo impoqo ngokomthetho esivumelwaneni sesikweletu semoto ({vehicle finance}). Uvumelekile ukuzikhethela umthengisi womshwalense;5
